date,Aktiefondkonto (Avanza.),Aktier/Fonder (Avanza),Allmän pension (AP7 fåsa),Inkomst,Inkomst (innan skatt),Mastercard (swed.),SBAB,Sparande,Sparkonto (swed.),Sparräntekonto(avanza/borgo),Studielån (swed.),Tjänstepension ,Utgifter,totalt innehav,net_cashflow,savings_rate_pct,net_worth_proxy,known_liabilities
2021-09-30,22207.0,57105.0,,25310.0,,2725.0,,3470.0,25310.0,0.0,108921.0,,21840.0,216268.0,3470.0,13.709996048992492,216268.0,111646.0
2021-10-31,22207.0,61105.0,,24366.0,,2012.0,,-5121.0,32048.0,0.0,104921.0,,29487.0,222293.0,-5121.0,-21.01699088894361,222293.0,106933.0
2021-11-30,22207.0,65105.0,,24174.0,,725.0,,-366.0,32389.0,0.0,100921.0,,24540.0,221347.0,-366.0,-1.5140233308513278,221347.0,101646.0
2021-12-31,22207.0,69105.0,,24366.0,,455.0,,6198.0,39942.0,0.0,96921.0,,18168.0,228630.0,6198.0,25.437084461955184,228630.0,97376.0
2022-01-31,22207.0,73105.0,,25530.0,33000.0,1220.0,,5535.0,46512.0,0.0,92921.0,,19995.0,235965.0,5535.0,21.680376028202115,235965.0,94141.0
2022-02-28,21195.0,77105.0,,38434.0,54725.0,1010.0,,21403.0,69825.0,0.0,88921.0,,17031.0,258056.0,21403.0,55.687672373419375,258056.0,89931.0
2022-03-31,21195.0,81105.0,,24427.0,34052.0,2898.0,,-10524.0,58683.0,0.0,86770.0,,34951.0,250651.0,-10524.0,-43.08347320587874,250651.0,89668.0
2022-04-30,21195.0,85105.0,,33635.0,34114.0,2197.0,,8710.0,74606.0,0.0,82770.0,,24925.0,265873.0,8710.0,25.895644418016943,265873.0,84967.0
2022-05-31,21195.0,90105.0,,24540.0,33681.0,219.0,,2488.0,78737.0,0.0,78770.0,,22052.0,269026.0,2488.0,10.138549307253463,269026.0,78989.0
2022-06-30,19939.0,89730.0,,28019.0,34094.0,705.0,,4921.0,84432.0,0.0,72921.0,,23098.0,267727.0,4921.0,17.563082194225345,267727.0,73626.0
2022-07-31,19939.0,98672.0,,24125.0,33814.0,1514.0,,-15835.0,68711.0,60188.0,8821.0,,39960.0,257845.0,-15835.0,-65.63730569948186,257845.0,10335.0
2022-08-31,19939.0,102131.0,,25039.0,33907.0,73.0,,929.0,71596.0,60215.0,2972.0,,24110.0,256926.0,929.0,3.710212069172091,256926.0,3045.0
2022-09-30,19939.0,101175.0,,24693.0,34254.0,528.0,,10872.0,82600.0,54247.0,2972.0,,13821.0,261461.0,10872.0,44.028672093305794,261461.0,3500.0
2022-10-31,19939.0,112196.0,,23835.0,33814.0,9393.0,,5900.0,45534.0,70319.0,2972.0,,17935.0,260353.0,5900.0,24.75351374029788,260353.0,12365.0
2022-11-30,19939.0,136897.0,,28632.0,40840.0,972.0,,10697.0,29990.0,85414.0,1124.0,,17935.0,274336.0,10697.0,37.36029617211511,274336.0,2096.0
2022-12-31,19939.0,142800.0,,31017.0,34002.0,7214.0,,-464.0,5446.0,107438.0,3224.0,,31481.0,286061.0,-464.0,-1.4959538317696748,286061.0,10438.0
2023-01-31,21068.0,158107.0,,32487.0,,412.0,,3312.0,14266.0,102527.0,230.0,,29175.0,296610.0,3312.0,10.194847169637086,296610.0,642.0
2023-02-28,20686.0,156962.0,,24189.0,,246.0,,-4701.0,4950.0,102634.0,,,28890.0,285478.0,-4701.0,-19.43445367729133,285478.0,246.0
2023-03-31,20724.0,161877.0,,24099.0,,800.0,,3061.0,11992.0,98762.0,,,21038.0,294155.0,3061.0,12.701771857753434,294155.0,800.0
2023-04-30,0.0,134646.9,,26610.0,,1721.6,,8279.1,20387.0,148751.9,,,18330.9,305507.4,8279.099999999999,31.11273957158962,305507.4,1721.6
2023-05-31,0.0,118834.0,,27057.0,,1262.0,,-10979.0,25424.0,150111.0,0.0,,38036.0,295631.0,-10979.0,-40.57729977455003,295631.0,1262.0
2023-06-25,,119855.0,,30155.0,,1656.0,,8948.0,52420.0,145373.0,,,21207.0,319304.0,8948.0,29.673354335931023,319304.0,1656.0
2023-07-25,,136241.0,,38997.0,,401.0,,12187.0,49497.0,145162.0,,,26810.0,331301.0,12187.0,31.251121881170345,331301.0,401.0
2023-08-25,,151888.0,,27056.0,,4395.0,,-2537.0,36618.0,133346.0,,,29593.0,326247.0,-2537.0,-9.376848018923715,326247.0,4395.0
2023-09-25,,158253.0,,27766.0,,760.0,,4355.0,36381.0,132794.0,,,23411.0,328188.0,4355.0,15.68465029172369,328188.0,760.0
2023-10-25,,158517.0,,27344.0,,902.0,,7379.0,45344.0,141080.0,,,19965.0,345843.0,7379.0,26.98581041544763,345843.0,902.0
2023-11-25,,176856.0,,29508.0,,773.5,,5063.0,40243.0,151404.5,,,24445.0,369277.0,5063.0,17.15805883150332,369277.0,773.5
2023-12-25,,191315.0,,26418.0,,1338.0,,-7456.0,22967.0,150314.0,,,33874.0,365934.0,-7456.0,-28.223181164357637,365934.0,1338.0
2024-01-25,,205094.0,,29066.0,,3859.0,,-4181.0,20775.0,138129.0,,,33247.0,367857.0,-4181.0,-14.384504231748435,367857.0,3859.0
2024-02-25,,221797.0,,26527.0,,2008.0,,-95.0,20499.0,138426.0,,,26622.0,382730.0,-95.0,-0.3581256832661062,382730.0,2008.0
2024-03-25,,242128.0,,28211.0,,2199.0,,-4005.0,28415.0,129721.0,,,32216.0,402463.0,-4005.0,-14.196589982630888,402463.0,2199.0
2024-04-25,,244877.0,,28488.0,,3704.0,,-2304.0,32463.0,130003.0,,,30792.0,411047.0,-2304.0,-8.087615838247682,411047.0,3704.0
2024-05-26,,267128.0,,30449.0,,1807.0,,-393.0,26370.0,115283.0,,,30842.0,410588.0,-393.0,-1.2906827810437125,410588.0,1807.0
2024-06-26,,277051.0,,30508.0,,4608.0,,430.0,42862.0,108517.0,,,30078.0,433038.0,430.0,1.4094663694768585,433038.0,4608.0
2024-07-26,,297843.0,,34138.0,,466.0,,7288.0,35534.0,100643.0,,,26850.0,434486.0,7288.0,21.34864374011366,434486.0,466.0
2024-08-26,,310151.0,,28800.0,,357.0,,-9249.0,54810.0,60904.0,,,38049.0,426222.0,-9249.0,-32.114583333333336,426222.0,357.0
2024-09-25,,308506.0,,34804.0,,2257.0,,-25749.0,25233.0,77054.0,,,60553.0,413050.0,-25749.0,-73.9828755315481,413050.0,2257.0
2024-10-25,,308847.0,,23724.0,,1689.0,,-15581.0,24768.0,60682.0,,,39305.0,395986.0,-15581.0,-65.67610858202664,395986.0,1689.0
2024-11-26,,325898.0,,37320.0,,1248.0,,861.0,9804.0,45266.0,,,36459.0,382216.0,861.0,2.307073954983923,382216.0,1248.0
2024-12-26,,321064.0,,37320.0,,807.0,,14931.0,32939.0,35220.0,,,22389.0,390030.0,14931.0,40.00803858520901,390030.0,807.0
2025-01-26,,343715.0,,37580.0,,1777.0,,-6755.0,20106.0,35270.0,,,44335.0,400868.0,-6755.0,-17.97498669505056,400868.0,1777.0
2025-02-28,,353000.0,,40448.0,,2400.0,,7413.0,30100.0,35728.0,,,33035.0,421228.0,7413.0,18.327234968354432,421228.0,2400.0
2025-03-31,,329000.0,,41039.0,,5750.0,,12622.0,23400.0,10.0,,,28417.0,358160.0,12622.0,30.756110041667682,358160.0,5750.0
2025-04-28,,320993.0,,37846.0,,9792.0,10286.0,12743.0,50758.0,10.0,,,25103.0,391839.0,12743.0,33.67066532790784,391839.0,9792.0
2025-05-31,,336970.0,,42385.0,,1962.0,20284.0,10268.0,36600.0,,,,32117.0,395816.0,10268.0,24.22555149227321,395816.0,1962.0
2025-06-30,,345041.0,,40496.0,,4288.0,30284.0,3164.0,56541.0,,,,37332.0,436154.0,3164.0,7.813117344922955,436154.0,4288.0
2025-07-31,,363935.0,,38764.0,,8882.0,30284.0,5997.0,41141.0,,,,32767.0,444242.0,5997.0,15.470539675988029,444242.0,8882.0
2025-08-31,,308603.0,,50084.0,,4221.0,30284.0,-64101.0,15874.0,,,,114185.0,358982.0,-64101.0,-127.98698187045763,358982.0,4221.0
2025-09-30,,311484.0,,40817.0,,35729.0,15283.0,14698.0,20309.0,,,,26119.0,382805.0,14698.0,36.00950584315359,382805.0,35729.0
2025-10-31,,339928.0,,42708.0,,8362.0,35283.0,4361.0,23317.0,,,,38347.0,406890.0,4361.0,10.21120164840311,406890.0,8362.0
2025-11-30,,348308.0,,43829.0,,4172.0,45283.0,3686.0,12882.0,,,,40143.0,410645.0,3686.0,8.409956877866252,410645.0,4172.0
2025-12-31,,356350.0,,39441.0,,1254.0,36449.0,5834.0,3804.0,,,,33607.0,397857.0,5834.0,14.791714206029258,397857.0,1254.0
2026-01-31,,375687.0,418906.0,38503.0,,7577.0,37450.0,-7953.0,11768.0,,,130569.0,46456.0,432482.0,-7953.0,-20.6555333350648,432482.0,7577.0
2026-02-28,,395222.0,,38503.0,,7372.0,17449.0,-818.0,19871.0,,,,39321.0,439914.0,-818.0,-2.1245097784588216,439914.0,7372.0
2026-03-31,,374185.0,,41000.0,,4347.0,18449.0,18414.0,20814.0,,,,22586.0,417795.0,18414.0,44.91219512195122,417795.0,4347.0
